date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-01-24,4.177657160737532,3.6317404800209543,4.774602855041015,45132580164
2025-01-25,4.375316208714921,3.78839573864795,4.968076326228174,45132580164
2025-01-26,4.57297525669231,3.9672425303267964,5.189788093775198,45132580164
2025-01-27,4.770634304669699,4.1867742725296635,5.427437223205046,45132580164
2025-01-28,4.968293352647088,4.404402346048141,5.547559679185394,45132580164
2025-01-29,5.165952400624477,4.551179182699706,5.797877644522605,45132580164
2025-01-30,5.363611448601873,4.799454406440051,5.9730720409998215,45132580164
2025-01-31,5.561270496579262,4.9701913149079155,6.151257813103174,45132580164
2025-02-01,5.758929544556651,5.2103378310006985,6.371863282658773,45132580164
2025-02-02,5.95658859253404,5.338765841415965,6.5743146505461185,45132580164
2025-02-03,6.154247640511429,5.543020505417036,6.757845145928633,45132580164
2025-02-04,6.351906688488818,5.742227927587654,6.9975067853501915,45132580164
2025-02-05,6.54956573646621,5.90301135588688,7.112840825097034,45132580164
2025-02-06,6.747224784443599,6.14290613480654,7.316925627147542,45132580164
2025-02-07,6.944883832420988,6.310801845522795,7.542055955993491,45132580164
2025-02-08,7.142542880398377,6.518645060491329,7.728431766330687,45132580164
2025-02-09,7.34020192837577,6.725532702786302,7.973610736416914,45132580164
2025-02-10,7.5378609763531585,6.919440217173933,8.176960248079675,45132580164
2025-02-25,1.936474222804125,0.218606811303259,3.5197641367266845,45132656942
2025-02-26,1.8864969295776692,0.17116780510512888,3.4728317953206265,45132656942
2025-02-27,1.8365196363512162,0.15106852004317933,3.46955063191102,45132656942
2025-02-28,1.7865423431247605,0.20056180677237542,3.3802412377746314,45132656942
2025-03-01,1.7365650498983047,-0.034132997318930686,3.4609292696048124,45132656942
2025-03-02,1.68658775667185,0.2026012349549954,3.4509881303732293,45132656942
2025-03-03,1.636610463445396,-0.03443949446400989,3.364466227482089,45132656942
2025-03-04,1.5866331702189402,0.052588472518997544,3.339618392806962,45132656942
2025-03-05,1.5366558769924845,-0.07421715608498451,3.351918620610267,45132656942
2025-03-06,1.4866785837660297,-0.2026222037681877,3.181373424574527,45132656942
2025-03-07,1.4367012905395757,-0.22110575825404505,3.108657711322417,45132656942
2025-03-08,1.38672399731312,-0.21597566151103822,3.0903131222579368,45132656942
2025-03-09,1.3367467040866643,-0.23953944599343283,3.0319842370800347,45132656942
2025-03-10,1.2867694108602103,-0.47726674556807624,3.0485805062218474,45132656942
2025-03-11,1.2367921176337546,-0.3945295681615595,2.7370498177958447,45132656942
2025-03-12,1.186814824407299,-0.504759399719497,2.868538928083455,45132656942
2025-03-13,1.1368375311808432,-0.47097824454206894,2.8053612789476183,45132656942
2025-03-14,1.0868602379543901,-0.5454869236255067,2.682701831355941,45132656942
2025-03-15,1.0368829447279344,-0.6102017154068529,2.775281399556915,45132656942
2025-03-16,0.9869056515014787,-0.7630894962047539,2.5748045899715275,45132656942
2025-03-17,0.9369283582750256,-0.681354035635351,2.6243432214669182,45132656942
2025-03-18,0.8869510650485699,-0.7540405541261147,2.6648911845715135,45132656942
2025-03-19,0.8369737718221142,-0.7634839717134236,2.568014423308588,45132656942
2025-03-20,0.7869964785956585,-0.7451904022936291,2.5880823433629128,45132656942
2025-03-21,0.7370191853692054,-0.8771641831702268,2.32023063931902,45132656942
2025-03-22,0.6870418921427497,-0.8820024636316589,2.428669711899073,45132656942
2025-03-23,0.637064598916294,-1.0684580174848106,2.254672408223408,45132656942
2025-03-24,0.5870873056898382,-1.0856632203414238,2.2021863299138493,45132656942
2025-01-07,-2.7075466951000013,-6.294012685086209,1.040283859221337,9629394497
2025-01-08,-2.5087239043665663,-6.249577091901841,1.003750620068539,9629394497
2025-01-09,-2.3356317703712817,-5.9449621410566245,1.4238059451500091,9629394497
2025-01-10,-2.190514793326085,-5.83833884341321,1.1489217004495276,9629394497
2025-01-11,-2.0743363101493735,-5.447476857787492,1.6449844938130573,9629394497
2025-01-12,-1.9867798047507597,-5.296803466563069,1.6986186005950878,9629394497
2025-01-13,-1.926291251036285,-5.645491662997279,1.835693015144768,9629394497
2025-01-14,-1.890160706261172,-5.285453093356801,1.6708614035747424,9629394497
2025-01-15,-1.8746402365165293,-5.57572404875724,1.4627328439597538,9629394497
2025-01-16,-1.8750942120586807,-5.762481525004157,1.6606787687220883,9629394497
2025-01-17,-1.8861770871690702,-5.4363429739794285,1.519439182863326,9629394497
2025-01-18,-1.90203300258404,-5.512473881050982,1.9807183576397784,9629394497
2025-01-19,-1.916510939895872,-5.449152213493297,1.8440883684091944,9629394497
2025-01-20,-1.923388733209043,-5.321339602822733,1.6665337675375447,9629394497
2025-01-21,-1.9165990148442855,-5.421469163491759,1.9086456863270844,9629394497
2025-01-22,-1.890450145089936,-5.531937773482972,1.7664699386077654,9629394497
2025-01-23,-1.8398353504918266,-5.707710448227039,1.5678266336523152,9629394497
2025-01-24,-1.760423665603989,-5.349073981598667,1.6892369374161453,9629394497
2025-01-25,-1.6488268280322878,-5.284740518774926,1.9576572136903923,9629394497
2025-01-26,-1.5027369996927238,-5.159256319688803,2.0472895715014676,9629394497
2025-01-27,-1.321031057228451,-4.783102944528905,2.2504993848558543,9629394497
2025-01-28,-1.1038381863246816,-4.531842191355794,2.1926360513868945,9629394497
2025-01-29,-0.8525685994902279,-4.628252032108476,2.817267381415265,9629394497
2025-01-30,-0.5699023435628341,-4.0840498548504955,2.985641296405685,9629394497
2025-01-31,-0.25973833884004627,-3.945892590992001,3.3069129280906235,9629394497
2025-02-01,0.07289503739146319,-3.547224133686591,3.5644595700965325,9629394497
2025-02-02,0.421965377478406,-3.3049999970927226,3.9045945715653922,9629394497
2025-02-03,0.7805941725049959,-2.8882040981451023,4.344422075640566,9629394497
2025-02-25,-51.67266264818947,-52.37860750838232,-50.953834000808605,4723833696
2025-02-26,-61.18558952054664,-61.88691484008223,-60.491431536577586,4723833696
2025-02-27,-72.37572514717849,-73.12627504958074,-71.66090090989476,4723833696
2025-02-28,-85.20037622876008,-85.91169441843735,-84.5156842248015,4723833696
2025-03-01,-99.56697479818796,-100.24622336666366,-98.90630777823846,4723833696
2025-03-02,-115.33085688742099,-115.95994109572061,-114.58529377647783,4723833696
2025-03-03,-132.29426128903117,-132.97296564057666,-131.59765325812444,4723833696
2025-03-04,-150.20665097764618,-150.8477710544518,-149.520048382763,4723833696
2025-03-05,-168.76642954398378,-169.45218815491367,-168.11305538395362,4723833696
2025-03-06,-187.6240915049715,-188.3179652724325,-186.93448005539798,4723833696
2025-03-07,-206.38680938577835,-207.10948477144268,-205.62640932982302,4723833696
2025-03-08,-224.62442290601007,-225.34381690683273,-223.96228675876196,4723833696
2025-03-09,-241.87675740025128,-242.57340472381478,-241.18316669280986,4723833696
2025-03-10,-257.6621607754679,-258.3490868809387,-256.960982016611,4723833696
2025-03-11,-271.4871118652813,-272.15707127038155,-270.8235776887838,4723833696
2025-03-12,-282.8567190163774,-283.54424197362584,-282.07747656318173,4723833696
2025-03-13,-291.28589710731814,-291.9765865095312,-290.60490369081634,4723833696
2025-03-14,-296.3109848790856,-296.9574588003723,-295.62037747480537,4723833696
2025-03-15,-297.5015432774659,-298.1823463598434,-296.83827477763117,4723833696
2025-03-16,-294.4720601863813,-295.16010751243533,-293.7335151646711,4723833696
2025-03-17,-286.89327804723547,-287.5847978331683,-286.2310140791354,4723833696
2025-03-18,-274.50285883502477,-275.1758146068451,-273.78816537980543,4723833696
2025-03-19,-257.1151059554886,-257.84354237325863,-256.45113682558525,4723833696
2025-03-20,-234.62947490582252,-235.3034197145925,-233.99640429873412,4723833696
2025-03-21,-207.03762389946615,-207.72063068658767,-206.3344396221287,4723833696
2025-03-22,-174.42878178559653,-175.15426012832248,-173.7594999189958,4723833696
2025-03-23,-136.99324301665993,-137.60789178044917,-136.27382911004304,4723833696
